Epoch,LR,Train Loss,Train Acc,Test Loss,Test Acc,Time(s)
10,0.16666666666666669,2.5609450469970705,29.54,2.4040277282714846,36.85,36.701247453689575
10,0.16666666666666669,1.918549996439616,46.28,2.6725322937011717,38.79,37.58345293998718
11,0.18333333333333335,2.5075369458516437,28.35333333333333,2.3394561279296875,35.89,36.61688780784607
11,0.18333333333333335,2.4424340681711834,31.876666666666665,2.9981470581054688,28.79,36.714547872543335
11,0.18333333333333335,1.778782691001892,49.38,2.7242074951171875,39.46,37.5930597782135
12,0.2,2.3855592377980552,30.743333333333332,2.5437090454101563,33.83,36.75153350830078
12,0.2,2.2835603666941324,35.723333333333336,2.0965406005859375,43.17,36.690775632858276
12,0.2,1.6683534790674845,52.193333333333335,2.7777912048339846,39.37,37.586129665374756
13,0.21666666666666667,2.2762763961791994,33.54,2.2148227966308593,39.52,36.690752267837524
13,0.21666666666666667,2.1456207436243693,38.49,2.319179943847656,40.9,36.69901657104492
13,0.21666666666666667,1.539627646446228,55.56,2.0172502655029296,48.43,37.61188340187073
14,0.23333333333333336,2.1430544336954753,36.24333333333333,2.3597092956542967,38.95,36.65727710723877
14,0.23333333333333336,2.0081736384709674,41.70666666666666,2.204847320556641,43.43,36.66870331764221
14,0.23333333333333336,1.4646989802042643,57.153333333333336,2.111816192626953,48.17,37.59754776954651
15,0.25,2.0383033378601074,38.74666666666667,2.361005456542969,38.99,36.79409432411194
15,0.25,1.8690382203420004,45.25,2.359497247314453,41.36,36.70502161979675
15,0.25,1.3532531949361166,59.96333333333333,2.0840095825195313,48.89,37.5831036567688
16,0.26666666666666666,1.9396795717875164,41.663333333333334,2.479233868408203,40.21,36.68887186050415
16,0.26666666666666666,1.7695811648050943,47.52333333333333,2.2373609619140624,42.86,36.73669672012329
16,0.26666666666666666,1.2733852695465089,61.95333333333333,2.146375732421875,49.38,37.602731704711914
17,0.2833333333333334,1.8342975035349527,43.70333333333333,1.9184221008300781,48.26,36.678614377975464
17,0.2833333333333334,1.6484967705408733,50.36,2.1056618835449217,46.83,36.72586107254028
17,0.2833333333333334,1.186812966664632,64.44,2.045622198486328,51.35,37.586164236068726
18,0.30000000000000004,1.7330431330362956,46.79666666666667,2.3982222106933593,40.19,36.66685438156128
18,0.30000000000000004,1.551741301981608,53.556666666666665,2.3239356689453126,45.61,36.66753005981445
18,0.30000000000000004,1.1174337366104126,66.37666666666667,1.925289959716797,53.9,37.6157660484314
19,0.31666666666666665,1.6269522336959839,49.443333333333335,2.285574041748047,41.41,36.6879940032959
19,0.31666666666666665,1.466479606628418,55.43,2.0752766540527343,48.67,36.666293144226074
19,0.31666666666666665,1.0387332601547241,68.4,1.814359423828125,55.95,37.606940507888794
20,0.33333333333333337,1.5596106349309284,51.14666666666667,1.8514464111328126,50.1,36.66171073913574
20,0.33333333333333337,1.3428835872014364,58.43666666666667,2.038228814697266,49.26,36.70735454559326
20,0.33333333333333337,0.968968491490682,70.23,2.173207623291016,51.7,37.574464321136475
21,0.35000000000000003,1.4444667318344115,54.28666666666667,1.8851892791748046,49.37,36.768301486968994
21,0.35000000000000003,1.2829666492462157,60.54333333333334,1.8410695220947266,52.13,36.70977210998535
21,0.35000000000000003,0.9119376974741618,71.55666666666667,2.0029458068847656,55.26,37.59858560562134
22,0.3666666666666667,1.37043113155365,56.47,1.8400627502441407,52.92,36.67950487136841
22,0.3666666666666667,1.1962000700632731,62.92,1.7423534851074218,54.07,36.720906496047974
22,0.3666666666666667,0.8397515776952108,73.53,1.7462798767089844,57.81,37.72586107254028
23,0.38333333333333336,1.276588151550293,59.04,1.8761555236816407,51.83,36.74896574020386
23,0.38333333333333336,1.1023290637334189,65.56,2.0504841735839845,50.47,36.70164680480957
23,0.38333333333333336,0.7889816595077515,74.99666666666667,1.8662833068847657,57.94,37.57815384864807
24,0.4,1.210801522509257,60.83,1.8744677001953125,52.81,36.755441188812256
24,0.4,1.053221715672811,66.80333333333333,2.04216142578125,51.6,36.65752720832825
24,0.4,0.7310511289914449,76.92333333333333,2.116184197998047,55.11,37.629868030548096
25,0.3970588235294118,1.1290806289672852,63.29333333333334,1.8605322814941405,52.29,36.66578483581543
25,0.3970588235294118,0.9447824914932251,69.85,2.055515362548828,50.81,36.68383264541626
25,0.3970588235294118,0.6787456408818563,78.4,1.615685595703125,61.93,37.592902421951294
26,0.3941176470588236,1.0136421032587688,66.99666666666667,1.6787812896728516,57.05,36.66573405265808
26,0.3941176470588236,0.8378298349062602,72.99333333333334,1.7810112579345703,56.7,36.70469117164612
26,0.3941176470588236,0.5798057270685831,81.4,1.7996613983154297,60.53,37.57668352127075
